v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x10398d9d8,734,0,0x0,4
tick,0x7fff759ea04f,1936,0,0x0,4
tick,0x1003df714,3196,0,0x0,4
code-creation,Stub,3,4761,0x312222915620,2254,"RecordWriteStub"
code-creation,Stub,3,4768,0x312222915f00,2292,"RecordWriteStub"
code-creation,Handler,4,4775,0x312222916800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4782,0x312222916900,2291,"RecordWriteStub"
code-creation,Stub,3,4789,0x312222917200,980,"RecordWriteStub"
code-creation,Stub,3,4796,0x3122229175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4802,0x312222917ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4809,0x312222918780,189,"DoubleToIStub"
code-creation,Stub,3,4816,0x312222918840,2270,"RecordWriteStub"
code-creation,Handler,4,4823,0x312222919120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4830,0x312222919260,2280,"RecordWriteStub"
code-creation,Stub,3,4836,0x312222919b60,2265,"RecordWriteStub"
code-creation,Stub,3,4843,0x31222291a440,2229,"RecordWriteStub"
code-creation,Stub,3,4850,0x31222291ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4857,0x31222291b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4863,0x31222291bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4870,0x31222291bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4888,0x31222291c880,2266,"RecordWriteStub"
code-creation,Stub,3,4913,0x31222291d160,2296,"RecordWriteStub"
code-creation,Stub,3,4932,0x31222291da60,978,"RecordWriteStub"
code-creation,Stub,3,4957,0x31222291de40,2250,"RecordWriteStub"
code-creation,Stub,3,4970,0x31222291e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4981,0x31222291e900,183,"DoubleToIStub"
code-creation,Stub,3,4991,0x31222291e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4998,0x31222291f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,5007,0x31222291fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,5017,0x3122229204a0,2242,"RecordWriteStub"
code-creation,Stub,3,5028,0x312222920d80,980,"RecordWriteStub"
code-creation,Handler,4,5037,0x312222921160,780,"An IC handler from the snapshot"
code-creation,Stub,3,5044,0x312222921480,2265,"RecordWriteStub"
code-creation,Stub,3,5051,0x312222921d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,5058,0x312222921f60,2292,"RecordWriteStub"
code-creation,Stub,3,5064,0x312222922860,2269,"RecordWriteStub"
code-creation,Stub,3,5071,0x312222923140,974,"RecordWriteStub"
code-creation,Stub,3,5078,0x312222923520,2280,"RecordWriteStub"
code-creation,Stub,3,5085,0x312222923e20,2275,"RecordWriteStub"
code-creation,Stub,3,5092,0x312222924720,2296,"RecordWriteStub"
code-creation,Stub,3,5099,0x312222925020,2254,"RecordWriteStub"
code-creation,Stub,3,5106,0x312222925900,2254,"RecordWriteStub"
code-creation,Stub,3,5113,0x3122229261e0,591,"StringAddStub"
code-creation,Stub,3,5121,0x312222926440,1872,"StringAddStub"
code-creation,Builtin,5,5128,0x312222926ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,5145,0x312222926ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,5165,0x312222927440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,5174,0x312222927540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,5181,0x3122229276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,5188,0x312222927800,2238,"RecordWriteStub"
code-creation,Stub,3,5195,0x3122229280c0,2300,"RecordWriteStub"
code-creation,Stub,3,5202,0x3122229289c0,2245,"RecordWriteStub"
code-creation,Stub,3,5227,0x3122229292a0,2291,"RecordWriteStub"
code-creation,Stub,3,5235,0x312222929ba0,2270,"RecordWriteStub"
code-creation,Stub,3,5259,0x31222292a480,2254,"RecordWriteStub"
code-creation,Stub,3,5267,0x31222292ad60,2285,"RecordWriteStub"
code-creation,Handler,4,5275,0x31222292b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,5281,0x31222292b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,5288,0x31222292baa0,2296,"RecordWriteStub"
code-creation,Stub,3,5295,0x31222292c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,5302,0x31222292cc60,2254,"RecordWriteStub"
code-creation,Stub,3,5309,0x31222292d540,1391,"RecordWriteStub"
code-creation,Stub,3,5315,0x31222292dac0,2242,"RecordWriteStub"
code-creation,Stub,3,5322,0x31222292e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,5329,0x31222292eca0,183,"DoubleToIStub"
code-creation,Stub,3,5336,0x31222292ed60,2266,"RecordWriteStub"
code-creation,Stub,3,5343,0x31222292f640,2308,"RecordWriteStub"
code-creation,Handler,4,5349,0x31222292ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,5356,0x312222930280,256,"An IC handler from the snapshot"
code-creation,Stub,3,5363,0x312222930380,2238,"RecordWriteStub"
code-creation,Stub,3,5370,0x312222930c40,2266,"RecordWriteStub"
code-creation,Handler,4,5377,0x312222931520,296,"An IC handler from the snapshot"
code-creation,Stub,3,5384,0x312222931660,1412,"RecordWriteStub"
code-creation,Stub,3,5390,0x312222931c00,2269,"RecordWriteStub"
code-creation,Stub,3,5397,0x3122229324e0,2250,"RecordWriteStub"
code-creation,Stub,3,5404,0x312222932dc0,3405,"SubStringStub"
code-creation,Stub,3,5411,0x312222933b20,183,"DoubleToIStub"
code-creation,Stub,3,5418,0x312222933be0,387,"CreateWeakCellStub"
code-creation,Handler,4,5424,0x312222933d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,5431,0x312222934040,1416,"RecordWriteStub"
code-creation,Stub,3,5438,0x3122229345e0,2257,"RecordWriteStub"
code-creation,Stub,3,5445,0x312222934ec0,365,"CEntryStub"
code-creation,Stub,3,5451,0x312222935040,2238,"RecordWriteStub"
code-creation,Stub,3,5458,0x312222935900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5465,0x312222935ae0,2272,"RecordWriteStub"
code-creation,Stub,3,5472,0x3122229363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5479,0x312222936500,357,"MathPowStub"
code-creation,Handler,4,5485,0x312222936680,744,"An IC handler from the snapshot"
code-creation,Stub,3,5492,0x312222936980,427,"CallApiGetterStub"
code-creation,Stub,3,5499,0x312222936b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5505,0x312222936c80,2276,"RecordWriteStub"
code-creation,Stub,3,5512,0x312222937580,2284,"RecordWriteStub"
code-creation,Stub,3,5519,0x312222937e80,2254,"RecordWriteStub"
code-creation,Stub,3,5526,0x312222938760,615,"StringAddStub"
code-creation,Stub,3,5532,0x3122229389e0,375,"NumberToStringStub"
code-creation,Stub,3,5539,0x312222938b60,980,"RecordWriteStub"
code-creation,Stub,3,5546,0x312222938f40,2263,"RecordWriteStub"
code-creation,Handler,4,5552,0x312222939820,296,"An IC handler from the snapshot"
code-creation,Stub,3,5559,0x312222939960,2307,"RecordWriteStub"
code-creation,Stub,3,5566,0x31222293a280,2254,"RecordWriteStub"
code-creation,Stub,3,5572,0x31222293ab60,185,"DoubleToIStub"
code-creation,Stub,3,5579,0x31222293ac20,2283,"RecordWriteStub"
code-creation,Stub,3,5586,0x31222293b520,978,"RecordWriteStub"
code-creation,Stub,3,5593,0x31222293b900,2257,"RecordWriteStub"
code-creation,Stub,3,5599,0x31222293c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,5606,0x31222293cae0,2241,"RecordWriteStub"
code-creation,Stub,3,5613,0x31222293d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,5619,0x31222293dcc0,972,"RecordWriteStub"
code-creation,Stub,3,5626,0x31222293e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,5633,0x31222293e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,5640,0x31222293eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,5647,0x31222293ee00,974,"RecordWriteStub"
code-creation,Stub,3,5669,0x31222293f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,5687,0x31222293fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5695,0x31222293fc00,2242,"RecordWriteStub"
code-creation,Stub,3,5702,0x3122229404e0,2241,"RecordWriteStub"
code-creation,Stub,3,5708,0x312222940dc0,980,"RecordWriteStub"
tick,0x7fff758292c2,5724,0,0x0,4
code-creation,Stub,3,5748,0x3122229411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,5758,0x312222941280,2266,"RecordWriteStub"
code-creation,Stub,3,5765,0x312222941b60,183,"DoubleToIStub"
code-creation,Stub,3,5772,0x312222941c20,2241,"RecordWriteStub"
code-creation,Stub,3,5779,0x312222942500,986,"RecordWriteStub"
code-creation,Stub,3,5786,0x3122229428e0,2242,"RecordWriteStub"
code-creation,Stub,3,5793,0x3122229431c0,2269,"RecordWriteStub"
code-creation,Stub,3,5800,0x312222943aa0,2270,"RecordWriteStub"
code-creation,Stub,3,5807,0x312222944380,2270,"RecordWriteStub"
code-creation,Stub,3,5813,0x312222944c60,2253,"RecordWriteStub"
code-creation,Stub,3,5820,0x312222945540,2311,"RecordWriteStub"
code-creation,Stub,3,5827,0x312222945e60,2326,"RecordWriteStub"
code-creation,Stub,3,5834,0x312222946780,365,"CEntryStub"
code-creation,Stub,3,5841,0x312222946900,2254,"RecordWriteStub"
code-creation,Stub,3,5847,0x3122229471e0,2275,"RecordWriteStub"
code-creation,Stub,3,5854,0x312222947ae0,2238,"RecordWriteStub"
code-creation,Stub,3,5861,0x3122229483a0,2308,"RecordWriteStub"
code-creation,Stub,3,5868,0x312222948cc0,2284,"RecordWriteStub"
code-creation,Stub,3,5874,0x3122229495c0,565,"CEntryStub"
code-creation,Stub,3,5881,0x312222949800,2300,"RecordWriteStub"
code-creation,Stub,3,5888,0x31222294a100,2253,"RecordWriteStub"
code-creation,Stub,3,5895,0x31222294a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5902,0x31222294b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5909,0x31222294b360,124,"ReturnReceiver"
code-creation,Builtin,5,5916,0x31222294b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5927,0x31222294b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,5934,0x31222294b760,335,"CreateIterResultObject"
code-creation,Builtin,5,5941,0x31222294b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5947,0x31222294bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5954,0x31222294bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5964,0x31222294c3a0,200,"ToBoolean"
code-creation,Builtin,5,5970,0x31222294c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5977,0x31222294d540,448,"StringEqual"
code-creation,Builtin,5,5984,0x31222294d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5991,0x31222294ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5998,0x31222294ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,6005,0x31222294f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,6012,0x31222294fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,6018,0x312222950240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,6025,0x312222950440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,6032,0x312222950820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,6039,0x312222950900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,6045,0x312222950d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,6052,0x312222951100,134,"Illegal"
code-creation,Builtin,5,6059,0x3122229511a0,134,"ObjectAssign"
code-creation,Builtin,5,6066,0x312222951240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,6073,0x3122229512e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,6080,0x312222951380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,6086,0x312222951420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,6093,0x3122229514c0,134,"ObjectIs"
code-creation,Builtin,5,6100,0x312222951560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,6107,0x312222951600,134,"ObjectSeal"
code-creation,Builtin,5,6114,0x3122229516a0,972,"ObjectCreate"
code-creation,Builtin,5,6120,0x312222951a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,6145,0x312222951b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,6153,0x312222951bc0,134,"ObjectFreeze"
