v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
profiler,"begin",1000
tick,0x7fff7581f246,726,0,0x0,4
tick,0x7fff759ea053,1980,0,0x0,4
tick,0x100721b05,3090,0,0x0,4
code-creation,Stub,3,4134,0x25f73d494420,2296,"RecordWriteStub"
code-creation,Stub,3,4140,0x25f73d494d20,2292,"RecordWriteStub"
code-creation,Stub,3,4145,0x25f73d495620,2254,"RecordWriteStub"
code-creation,Stub,3,4151,0x25f73d495f00,2292,"RecordWriteStub"
code-creation,Handler,4,4156,0x25f73d496800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4162,0x25f73d496900,2291,"RecordWriteStub"
code-creation,Stub,3,4168,0x25f73d497200,980,"RecordWriteStub"
code-creation,Stub,3,4173,0x25f73d4975e0,2238,"RecordWriteStub"
code-creation,Stub,3,4179,0x25f73d497ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4184,0x25f73d498780,189,"DoubleToIStub"
code-creation,Stub,3,4190,0x25f73d498840,2270,"RecordWriteStub"
code-creation,Handler,4,4195,0x25f73d499120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4201,0x25f73d499260,2280,"RecordWriteStub"
code-creation,Stub,3,4206,0x25f73d499b60,2265,"RecordWriteStub"
code-creation,Stub,3,4212,0x25f73d49a440,2229,"RecordWriteStub"
code-creation,Stub,3,4217,0x25f73d49ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4223,0x25f73d49b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4228,0x25f73d49bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4234,0x25f73d49bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4239,0x25f73d49c880,2266,"RecordWriteStub"
code-creation,Stub,3,4245,0x25f73d49d160,2296,"RecordWriteStub"
code-creation,Stub,3,4250,0x25f73d49da60,978,"RecordWriteStub"
code-creation,Stub,3,4256,0x25f73d49de40,2250,"RecordWriteStub"
code-creation,Stub,3,4262,0x25f73d49e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4267,0x25f73d49e900,183,"DoubleToIStub"
code-creation,Stub,3,4273,0x25f73d49e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4278,0x25f73d49f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4284,0x25f73d49fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4289,0x25f73d4a04a0,2242,"RecordWriteStub"
code-creation,Stub,3,4295,0x25f73d4a0d80,980,"RecordWriteStub"
code-creation,Handler,4,4300,0x25f73d4a1160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4306,0x25f73d4a1480,2265,"RecordWriteStub"
code-creation,Stub,3,4311,0x25f73d4a1d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4317,0x25f73d4a1f60,2292,"RecordWriteStub"
code-creation,Stub,3,4322,0x25f73d4a2860,2269,"RecordWriteStub"
code-creation,Stub,3,4328,0x25f73d4a3140,974,"RecordWriteStub"
code-creation,Stub,3,4333,0x25f73d4a3520,2280,"RecordWriteStub"
code-creation,Stub,3,4339,0x25f73d4a3e20,2275,"RecordWriteStub"
code-creation,Stub,3,4344,0x25f73d4a4720,2296,"RecordWriteStub"
code-creation,Stub,3,4350,0x25f73d4a5020,2254,"RecordWriteStub"
code-creation,Stub,3,4355,0x25f73d4a5900,2254,"RecordWriteStub"
code-creation,Stub,3,4361,0x25f73d4a61e0,591,"StringAddStub"
code-creation,Stub,3,4367,0x25f73d4a6440,1872,"StringAddStub"
code-creation,Builtin,5,4372,0x25f73d4a6ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4378,0x25f73d4a6ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4384,0x25f73d4a7440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4390,0x25f73d4a7540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4409,0x25f73d4a76c0,308,"An IC handler from the snapshot"
tick,0x7fff758292c2,4422,0,0x0,4
code-creation,Stub,3,4443,0x25f73d4a7800,2238,"RecordWriteStub"
code-creation,Stub,3,4450,0x25f73d4a80c0,2300,"RecordWriteStub"
code-creation,Stub,3,4458,0x25f73d4a89c0,2245,"RecordWriteStub"
code-creation,Stub,3,4486,0x25f73d4a92a0,2291,"RecordWriteStub"
code-creation,Stub,3,4492,0x25f73d4a9ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4498,0x25f73d4aa480,2254,"RecordWriteStub"
code-creation,Stub,3,4503,0x25f73d4aad60,2285,"RecordWriteStub"
code-creation,Handler,4,4509,0x25f73d4ab660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4515,0x25f73d4ab7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4520,0x25f73d4abaa0,2296,"RecordWriteStub"
code-creation,Stub,3,4526,0x25f73d4ac3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4532,0x25f73d4acc60,2254,"RecordWriteStub"
code-creation,Stub,3,4537,0x25f73d4ad540,1391,"RecordWriteStub"
code-creation,Stub,3,4543,0x25f73d4adac0,2242,"RecordWriteStub"
code-creation,Stub,3,4548,0x25f73d4ae3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4554,0x25f73d4aeca0,183,"DoubleToIStub"
code-creation,Stub,3,4559,0x25f73d4aed60,2266,"RecordWriteStub"
code-creation,Stub,3,4565,0x25f73d4af640,2308,"RecordWriteStub"
code-creation,Handler,4,4570,0x25f73d4aff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4576,0x25f73d4b0280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4582,0x25f73d4b0380,2238,"RecordWriteStub"
code-creation,Stub,3,4587,0x25f73d4b0c40,2266,"RecordWriteStub"
code-creation,Handler,4,4593,0x25f73d4b1520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4599,0x25f73d4b1660,1412,"RecordWriteStub"
code-creation,Stub,3,4604,0x25f73d4b1c00,2269,"RecordWriteStub"
code-creation,Stub,3,4610,0x25f73d4b24e0,2250,"RecordWriteStub"
code-creation,Stub,3,4615,0x25f73d4b2dc0,3405,"SubStringStub"
code-creation,Stub,3,4621,0x25f73d4b3b20,183,"DoubleToIStub"
code-creation,Stub,3,4626,0x25f73d4b3be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4632,0x25f73d4b3d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4638,0x25f73d4b4040,1416,"RecordWriteStub"
code-creation,Stub,3,4643,0x25f73d4b45e0,2257,"RecordWriteStub"
code-creation,Stub,3,4649,0x25f73d4b4ec0,365,"CEntryStub"
code-creation,Stub,3,4655,0x25f73d4b5040,2238,"RecordWriteStub"
code-creation,Stub,3,4660,0x25f73d4b5900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4666,0x25f73d4b5ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4672,0x25f73d4b63c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4677,0x25f73d4b6500,357,"MathPowStub"
code-creation,Handler,4,4687,0x25f73d4b6680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4696,0x25f73d4b6980,427,"CallApiGetterStub"
code-creation,Stub,3,4705,0x25f73d4b6b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4713,0x25f73d4b6c80,2276,"RecordWriteStub"
code-creation,Stub,3,4722,0x25f73d4b7580,2284,"RecordWriteStub"
code-creation,Stub,3,4731,0x25f73d4b7e80,2254,"RecordWriteStub"
code-creation,Stub,3,4739,0x25f73d4b8760,615,"StringAddStub"
code-creation,Stub,3,4746,0x25f73d4b89e0,375,"NumberToStringStub"
code-creation,Stub,3,4751,0x25f73d4b8b60,980,"RecordWriteStub"
code-creation,Stub,3,4757,0x25f73d4b8f40,2263,"RecordWriteStub"
code-creation,Handler,4,4762,0x25f73d4b9820,296,"An IC handler from the snapshot"
code-creation,Stub,3,4768,0x25f73d4b9960,2307,"RecordWriteStub"
code-creation,Stub,3,4774,0x25f73d4ba280,2254,"RecordWriteStub"
code-creation,Stub,3,4779,0x25f73d4bab60,185,"DoubleToIStub"
code-creation,Stub,3,4785,0x25f73d4bac20,2283,"RecordWriteStub"
code-creation,Stub,3,4791,0x25f73d4bb520,978,"RecordWriteStub"
code-creation,Stub,3,4796,0x25f73d4bb900,2257,"RecordWriteStub"
code-creation,Stub,3,4802,0x25f73d4bc1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4809,0x25f73d4bcae0,2241,"RecordWriteStub"
code-creation,Stub,3,4815,0x25f73d4bd3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4820,0x25f73d4bdcc0,972,"RecordWriteStub"
code-creation,Stub,3,4826,0x25f73d4be0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4831,0x25f73d4be980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4837,0x25f73d4beb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4842,0x25f73d4bee00,974,"RecordWriteStub"
code-creation,Stub,3,4860,0x25f73d4bf1e0,2254,"RecordWriteStub"
code-creation,Stub,3,4866,0x25f73d4bfac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4872,0x25f73d4bfc00,2242,"RecordWriteStub"
code-creation,Stub,3,4878,0x25f73d4c04e0,2241,"RecordWriteStub"
code-creation,Stub,3,4883,0x25f73d4c0dc0,980,"RecordWriteStub"
code-creation,Stub,3,4889,0x25f73d4c11a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,4894,0x25f73d4c1280,2266,"RecordWriteStub"
code-creation,Stub,3,4900,0x25f73d4c1b60,183,"DoubleToIStub"
code-creation,Stub,3,4905,0x25f73d4c1c20,2241,"RecordWriteStub"
code-creation,Stub,3,4911,0x25f73d4c2500,986,"RecordWriteStub"
code-creation,Stub,3,4916,0x25f73d4c28e0,2242,"RecordWriteStub"
code-creation,Stub,3,4922,0x25f73d4c31c0,2269,"RecordWriteStub"
code-creation,Stub,3,4927,0x25f73d4c3aa0,2270,"RecordWriteStub"
code-creation,Stub,3,4933,0x25f73d4c4380,2270,"RecordWriteStub"
code-creation,Stub,3,4938,0x25f73d4c4c60,2253,"RecordWriteStub"
code-creation,Stub,3,4944,0x25f73d4c5540,2311,"RecordWriteStub"
code-creation,Stub,3,4949,0x25f73d4c5e60,2326,"RecordWriteStub"
code-creation,Stub,3,4955,0x25f73d4c6780,365,"CEntryStub"
code-creation,Stub,3,4960,0x25f73d4c6900,2254,"RecordWriteStub"
code-creation,Stub,3,4966,0x25f73d4c71e0,2275,"RecordWriteStub"
code-creation,Stub,3,4972,0x25f73d4c7ae0,2238,"RecordWriteStub"
code-creation,Stub,3,4977,0x25f73d4c83a0,2308,"RecordWriteStub"
code-creation,Stub,3,4983,0x25f73d4c8cc0,2284,"RecordWriteStub"
code-creation,Stub,3,4988,0x25f73d4c95c0,565,"CEntryStub"
code-creation,Stub,3,4994,0x25f73d4c9800,2300,"RecordWriteStub"
code-creation,Stub,3,4999,0x25f73d4ca100,2253,"RecordWriteStub"
code-creation,Stub,3,5005,0x25f73d4ca9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5011,0x25f73d4cb2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5016,0x25f73d4cb360,124,"ReturnReceiver"
code-creation,Builtin,5,5022,0x25f73d4cb3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5031,0x25f73d4cb600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,5037,0x25f73d4cb760,335,"CreateIterResultObject"
code-creation,Builtin,5,5042,0x25f73d4cb8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5048,0x25f73d4cbae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5054,0x25f73d4cbd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5061,0x25f73d4cc3a0,200,"ToBoolean"
code-creation,Builtin,5,5067,0x25f73d4cc480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5073,0x25f73d4cd540,448,"StringEqual"
code-creation,Builtin,5,5078,0x25f73d4cd700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5084,0x25f73d4cebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5089,0x25f73d4cef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5095,0x25f73d4cf7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5100,0x25f73d4cfe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5106,0x25f73d4d0240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5112,0x25f73d4d0440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,5117,0x25f73d4d0820,207,"AsyncGeneratorReject"
