v8-version,6,1,534,50,0
shared-library,"/usr/local/opt/node@8/bin/node",0x100002800,0x100843776,0
shared-library,"/usr/local/opt/icu4c/lib/libicui18n.60.dylib",0x101a8ff20,0x101bb9d39,4322811904
shared-library,"/usr/local/opt/icu4c/lib/libicuuc.60.dylib",0x101ceeb20,0x101d9f210,4325298176
shared-library,"/usr/local/opt/icu4c/lib/libicudata.60.2.dylib",0x101e649f0,0x101e649f0,4326830080
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4d84a860,0x7fff4da3d9ac,634572800
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff733f394a,0x7fff733f3b2e,634572800
shared-library,"/usr/lib/libc++.1.dylib",0x7fff73627f40,0x7fff7366f2b0,634572800
shared-library,"/usr/lib/system/libcache.dylib",0x7fff7556eb08,0x7fff7557156d,634572800
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff75573c14,0x7fff7557cde1,634572800
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff7557eef4,0x7fff75583a8b,634572800
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7558709c,0x7fff7558e2dc,634572800
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff75590e80,0x7fff755f5ab9,634572800
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff7569ea08,0x7fff756c99fe,634572800
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff756d8014,0x7fff756f0410,634572800
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff756f5a51,0x7fff756f5e80,634572800
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff75703fc0,0x7fff75703fc0,634572800
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff757046e8,0x7fff757089dc,634572800
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7570a26e,0x7fff7570bb42,634572800
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff7570c944,0x7fff7570dc73,634572800
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff7570f748,0x7fff75724150,634572800
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7572685d,0x7fff75726d0e,634572800
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff75728100,0x7fff757a918f,634572800
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff757b1e04,0x7fff757b46c0,634572800
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff757b62d0,0x7fff757b83eb,634572800
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff757b9fda,0x7fff757bac44,634572800
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff757bbf3c,0x7fff757c04cd,634572800
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff757c31f0,0x7fff7580841e,634572800
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff75834140,0x7fff75864143,634572800
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff75880250,0x7fff7589931f,634572800
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff758a0b70,0x7fff759a2038,634572800
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff759d0cff,0x7fff759d882e,634572800
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff759dc148,0x7fff759e483e,634572800
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff759fa040,0x7fff759fc52d,634572800
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff759fda1f,0x7fff759fe588,634572800
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7580cf10,0x7fff7582a75d,634572800
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff759e5820,0x7fff759eb38d,634572800
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff759edf78,0x7fff759f610e,634572800
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff759ff938,0x7fff75a0531e,634572800
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff75a08094,0x7fff75a17c8d,634572800
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff75a1c96c,0x7fff75a212a7,634572800
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff75a239c0,0x7fff75a4483e,634572800
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff72eb8e80,0x7fff72ee3689,634572800
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff74aab000,0x7fff74acc65a,634572800
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7367f600,0x7fff7369dd64,634572800
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff7307cf08,0x7fff7307d90c,634572800
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff74152fd4,0x7fff7430a2e6,634572800
shared-library,"/usr/lib/libz.1.dylib",0x7fff754c12d0,0x7fff754ccbe5,634572800
tick,0x10c0baabf,646,0,0x0,4
profiler,"begin",1000
tick,0x7fff759ea060,1930,0,0x0,4
tick,0x7fff759e9f49,2969,0,0x0,4
code-creation,Builtin,5,4180,0x1c8e376142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,4186,0x1c8e37614420,2296,"RecordWriteStub"
code-creation,Stub,3,4191,0x1c8e37614d20,2292,"RecordWriteStub"
code-creation,Stub,3,4197,0x1c8e37615620,2254,"RecordWriteStub"
code-creation,Stub,3,4202,0x1c8e37615f00,2292,"RecordWriteStub"
code-creation,Handler,4,4208,0x1c8e37616800,256,"An IC handler from the snapshot"
code-creation,Stub,3,4214,0x1c8e37616900,2291,"RecordWriteStub"
code-creation,Stub,3,4219,0x1c8e37617200,980,"RecordWriteStub"
code-creation,Stub,3,4225,0x1c8e376175e0,2238,"RecordWriteStub"
code-creation,Stub,3,4230,0x1c8e37617ea0,2266,"RecordWriteStub"
code-creation,Stub,3,4236,0x1c8e37618780,189,"DoubleToIStub"
code-creation,Stub,3,4241,0x1c8e37618840,2270,"RecordWriteStub"
code-creation,Handler,4,4247,0x1c8e37619120,308,"An IC handler from the snapshot"
code-creation,Stub,3,4264,0x1c8e37619260,2280,"RecordWriteStub"
code-creation,Stub,3,4270,0x1c8e37619b60,2265,"RecordWriteStub"
tick,0x7fff758292c2,4283,0,0x0,4
code-creation,Stub,3,4304,0x1c8e3761a440,2229,"RecordWriteStub"
code-creation,Stub,3,4312,0x1c8e3761ad00,1412,"RecordWriteStub"
code-creation,Stub,3,4318,0x1c8e3761b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,4323,0x1c8e3761bbc0,978,"RecordWriteStub"
code-creation,Stub,3,4329,0x1c8e3761bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,4334,0x1c8e3761c880,2266,"RecordWriteStub"
code-creation,Stub,3,4340,0x1c8e3761d160,2296,"RecordWriteStub"
code-creation,Stub,3,4345,0x1c8e3761da60,978,"RecordWriteStub"
code-creation,Stub,3,4351,0x1c8e3761de40,2250,"RecordWriteStub"
code-creation,Stub,3,4356,0x1c8e3761e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,4362,0x1c8e3761e900,183,"DoubleToIStub"
code-creation,Stub,3,4367,0x1c8e3761e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,4373,0x1c8e3761f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,4378,0x1c8e3761fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,4384,0x1c8e376204a0,2242,"RecordWriteStub"
code-creation,Stub,3,4389,0x1c8e37620d80,980,"RecordWriteStub"
code-creation,Handler,4,4395,0x1c8e37621160,780,"An IC handler from the snapshot"
code-creation,Stub,3,4400,0x1c8e37621480,2265,"RecordWriteStub"
code-creation,Stub,3,4406,0x1c8e37621d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,4411,0x1c8e37621f60,2292,"RecordWriteStub"
code-creation,Stub,3,4417,0x1c8e37622860,2269,"RecordWriteStub"
code-creation,Stub,3,4422,0x1c8e37623140,974,"RecordWriteStub"
code-creation,Stub,3,4428,0x1c8e37623520,2280,"RecordWriteStub"
code-creation,Stub,3,4433,0x1c8e37623e20,2275,"RecordWriteStub"
code-creation,Stub,3,4439,0x1c8e37624720,2296,"RecordWriteStub"
code-creation,Stub,3,4444,0x1c8e37625020,2254,"RecordWriteStub"
code-creation,Stub,3,4449,0x1c8e37625900,2254,"RecordWriteStub"
code-creation,Stub,3,4455,0x1c8e376261e0,591,"StringAddStub"
code-creation,Stub,3,4460,0x1c8e37626440,1872,"StringAddStub"
code-creation,Builtin,5,4466,0x1c8e37626ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4471,0x1c8e37626ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4477,0x1c8e37627440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4482,0x1c8e37627540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4488,0x1c8e376276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4494,0x1c8e37627800,2238,"RecordWriteStub"
code-creation,Stub,3,4499,0x1c8e376280c0,2300,"RecordWriteStub"
code-creation,Stub,3,4504,0x1c8e376289c0,2245,"RecordWriteStub"
code-creation,Stub,3,4527,0x1c8e376292a0,2291,"RecordWriteStub"
code-creation,Stub,3,4535,0x1c8e37629ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4541,0x1c8e3762a480,2254,"RecordWriteStub"
code-creation,Stub,3,4547,0x1c8e3762ad60,2285,"RecordWriteStub"
code-creation,Handler,4,4552,0x1c8e3762b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4558,0x1c8e3762b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4563,0x1c8e3762baa0,2296,"RecordWriteStub"
code-creation,Stub,3,4569,0x1c8e3762c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4574,0x1c8e3762cc60,2254,"RecordWriteStub"
code-creation,Stub,3,4580,0x1c8e3762d540,1391,"RecordWriteStub"
code-creation,Stub,3,4596,0x1c8e3762dac0,2242,"RecordWriteStub"
code-creation,Stub,3,4612,0x1c8e3762e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4619,0x1c8e3762eca0,183,"DoubleToIStub"
code-creation,Stub,3,4637,0x1c8e3762ed60,2266,"RecordWriteStub"
code-creation,Stub,3,4651,0x1c8e3762f640,2308,"RecordWriteStub"
code-creation,Handler,4,4658,0x1c8e3762ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4664,0x1c8e37630280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4670,0x1c8e37630380,2238,"RecordWriteStub"
code-creation,Stub,3,4675,0x1c8e37630c40,2266,"RecordWriteStub"
code-creation,Handler,4,4681,0x1c8e37631520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4687,0x1c8e37631660,1412,"RecordWriteStub"
code-creation,Stub,3,4692,0x1c8e37631c00,2269,"RecordWriteStub"
code-creation,Stub,3,4700,0x1c8e376324e0,2250,"RecordWriteStub"
code-creation,Stub,3,4708,0x1c8e37632dc0,3405,"SubStringStub"
code-creation,Stub,3,4717,0x1c8e37633b20,183,"DoubleToIStub"
code-creation,Stub,3,4729,0x1c8e37633be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4738,0x1c8e37633d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4747,0x1c8e37634040,1416,"RecordWriteStub"
code-creation,Stub,3,4755,0x1c8e376345e0,2257,"RecordWriteStub"
code-creation,Stub,3,4762,0x1c8e37634ec0,365,"CEntryStub"
code-creation,Stub,3,4768,0x1c8e37635040,2238,"RecordWriteStub"
code-creation,Stub,3,4774,0x1c8e37635900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4779,0x1c8e37635ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4785,0x1c8e376363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4791,0x1c8e37636500,357,"MathPowStub"
code-creation,Handler,4,4796,0x1c8e37636680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4802,0x1c8e37636980,427,"CallApiGetterStub"
code-creation,Stub,3,4807,0x1c8e37636b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4813,0x1c8e37636c80,2276,"RecordWriteStub"
code-creation,Stub,3,4819,0x1c8e37637580,2284,"RecordWriteStub"
code-creation,Stub,3,4824,0x1c8e37637e80,2254,"RecordWriteStub"
code-creation,Stub,3,4830,0x1c8e37638760,615,"StringAddStub"
code-creation,Stub,3,4835,0x1c8e376389e0,375,"NumberToStringStub"
code-creation,Stub,3,4841,0x1c8e37638b60,980,"RecordWriteStub"
code-creation,Stub,3,4846,0x1c8e37638f40,2263,"RecordWriteStub"
code-creation,Handler,4,4852,0x1c8e37639820,296,"An IC handler from the snapshot"
code-creation,Stub,3,4858,0x1c8e37639960,2307,"RecordWriteStub"
code-creation,Stub,3,4863,0x1c8e3763a280,2254,"RecordWriteStub"
code-creation,Stub,3,4869,0x1c8e3763ab60,185,"DoubleToIStub"
code-creation,Stub,3,4874,0x1c8e3763ac20,2283,"RecordWriteStub"
code-creation,Stub,3,4880,0x1c8e3763b520,978,"RecordWriteStub"
code-creation,Stub,3,4885,0x1c8e3763b900,2257,"RecordWriteStub"
code-creation,Stub,3,4891,0x1c8e3763c1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4896,0x1c8e3763cae0,2241,"RecordWriteStub"
code-creation,Stub,3,4902,0x1c8e3763d3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4907,0x1c8e3763dcc0,972,"RecordWriteStub"
code-creation,Stub,3,4913,0x1c8e3763e0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4918,0x1c8e3763e980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4924,0x1c8e3763eb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4930,0x1c8e3763ee00,974,"RecordWriteStub"
code-creation,Stub,3,4950,0x1c8e3763f1e0,2254,"RecordWriteStub"
code-creation,Stub,3,4957,0x1c8e3763fac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4962,0x1c8e3763fc00,2242,"RecordWriteStub"
code-creation,Stub,3,4968,0x1c8e376404e0,2241,"RecordWriteStub"
code-creation,Stub,3,4974,0x1c8e37640dc0,980,"RecordWriteStub"
code-creation,Stub,3,4979,0x1c8e376411a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,4985,0x1c8e37641280,2266,"RecordWriteStub"
code-creation,Stub,3,4990,0x1c8e37641b60,183,"DoubleToIStub"
code-creation,Stub,3,4996,0x1c8e37641c20,2241,"RecordWriteStub"
code-creation,Stub,3,5001,0x1c8e37642500,986,"RecordWriteStub"
code-creation,Stub,3,5007,0x1c8e376428e0,2242,"RecordWriteStub"
code-creation,Stub,3,5012,0x1c8e376431c0,2269,"RecordWriteStub"
code-creation,Stub,3,5018,0x1c8e37643aa0,2270,"RecordWriteStub"
code-creation,Stub,3,5023,0x1c8e37644380,2270,"RecordWriteStub"
code-creation,Stub,3,5029,0x1c8e37644c60,2253,"RecordWriteStub"
code-creation,Stub,3,5034,0x1c8e37645540,2311,"RecordWriteStub"
code-creation,Stub,3,5039,0x1c8e37645e60,2326,"RecordWriteStub"
code-creation,Stub,3,5045,0x1c8e37646780,365,"CEntryStub"
code-creation,Stub,3,5050,0x1c8e37646900,2254,"RecordWriteStub"
code-creation,Stub,3,5056,0x1c8e376471e0,2275,"RecordWriteStub"
code-creation,Stub,3,5062,0x1c8e37647ae0,2238,"RecordWriteStub"
code-creation,Stub,3,5067,0x1c8e376483a0,2308,"RecordWriteStub"
code-creation,Stub,3,5073,0x1c8e37648cc0,2284,"RecordWriteStub"
code-creation,Stub,3,5081,0x1c8e376495c0,565,"CEntryStub"
code-creation,Stub,3,5089,0x1c8e37649800,2300,"RecordWriteStub"
code-creation,Stub,3,5097,0x1c8e3764a100,2253,"RecordWriteStub"
code-creation,Stub,3,5106,0x1c8e3764a9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,5114,0x1c8e3764b2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,5122,0x1c8e3764b360,124,"ReturnReceiver"
code-creation,Builtin,5,5131,0x1c8e3764b3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,5145,0x1c8e3764b600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,5151,0x1c8e3764b760,335,"CreateIterResultObject"
code-creation,Builtin,5,5156,0x1c8e3764b8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,5162,0x1c8e3764bae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5168,0x1c8e3764bd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5176,0x1c8e3764c3a0,200,"ToBoolean"
code-creation,Builtin,5,5182,0x1c8e3764c480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5187,0x1c8e3764d540,448,"StringEqual"
code-creation,Builtin,5,5193,0x1c8e3764d700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5198,0x1c8e3764ebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5204,0x1c8e3764ef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5210,0x1c8e3764f7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5215,0x1c8e3764fe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5221,0x1c8e37650240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5227,0x1c8e37650440,980,"AsyncGeneratorResolve"
